path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft-bundle/src/resource_codec/view/codec/style_environment.rs,arcweft-bundle,10367,308,288,production,true,25
crates/arcweft-bundle/src/resource_codec/view/codec/text.rs,arcweft-bundle,8642,227,216,production,true,0
crates/arcweft-bundle/src/resource_codec/view/codec/theme.rs,arcweft-bundle,3057,88,78,production,true,0
crates/arcweft-bundle/src/resource_codec/view/codec/transcript.rs,arcweft-bundle,5894,196,184,production,true,0
crates/arcweft-bundle/src/resource_codec/view/codec.rs,arcweft-bundle,63524,1695,1615,production,true,0
crates/arcweft-bundle/src/resource_codec/view/compat.rs,arcweft-bundle,3263,85,78,production,true,0
crates/arcweft-bundle/src/resource_codec/view/dialogue_contract.rs,arcweft-bundle,4302,107,100,production,true,0
crates/arcweft-bundle/src/resource_codec/view/merge.rs,arcweft-bundle,38849,1084,1025,production,true,103
crates/arcweft-bundle/src/resource_codec/view/model/input.rs,arcweft-bundle,17568,561,507,production,true,0
crates/arcweft-bundle/src/resource_codec/view/model/part.rs,arcweft-bundle,2781,100,80,production,true,0
crates/arcweft-bundle/src/resource_codec/view/model/source.rs,arcweft-bundle,7573,224,209,production,true,0
crates/arcweft-bundle/src/resource_codec/view/model/style.rs,arcweft-bundle,1388,36,26,production,true,0
crates/arcweft-bundle/src/resource_codec/view/model.rs,arcweft-bundle,59685,1823,1611,production,true,55
crates/arcweft-bundle/src/resource_codec/view/runtime_control_style/physical.rs,arcweft-bundle,8873,251,232,production,true,0
crates/arcweft-bundle/src/resource_codec/view/runtime_control_style/projection.rs,arcweft-bundle,20388,541,526,production,true,0
crates/arcweft-bundle/src/resource_codec/view/runtime_control_style.rs,arcweft-bundle,9860,289,246,production,true,0
crates/arcweft-bundle/src/resource_codec/view/semantic.rs,arcweft-bundle,4833,115,106,production,true,0
crates/arcweft-bundle/src/resource_codec/view/style_contract.rs,arcweft-bundle,4084,107,99,production,true,0
crates/arcweft-bundle/src/resource_codec/view/validated.rs,arcweft-bundle,22859,633,574,production,true,0
crates/arcweft-bundle/src/resource_codec/view.rs,arcweft-bundle,1290,33,23,production,true,0
crates/arcweft-bundle/src/resource_codec/wire.rs,arcweft-bundle,10265,269,256,production,true,0
crates/arcweft-bundle/src/resource_codec.rs,arcweft-bundle,4448,88,80,production,true,0
crates/arcweft-bundle/src/resource_type_manifests.rs,arcweft-bundle,10658,269,244,production,true,0
crates/arcweft-bundle/src/standard_view/handler.rs,arcweft-bundle,12856,338,306,production,true,98
crates/arcweft-bundle/src/standard_view.rs,arcweft-bundle,17834,462,402,production,true,0
crates/arcweft-bundle/tests/character_package.rs,arcweft-bundle,3569,94,87,test,true,0
crates/arcweft-bundle/tests/fixtures/zundamon.awchar/character.awchar.json,arcweft-bundle,3411,167,167,text,false,0
crates/arcweft-bundle/tests/locale_catalog_resource_codec.rs,arcweft-bundle,20811,550,504,test,true,0
crates/arcweft-bundle/tests/patch_schema.rs,arcweft-bundle,11939,324,290,test,true,0
crates/arcweft-bundle/tests/product_awbc_only.rs,arcweft-bundle,6012,165,156,test,true,0
crates/arcweft-bundle/tests/product_catalog_resource_codecs.rs,arcweft-bundle,15805,433,410,test,true,0
crates/arcweft-bundle/tests/resource_codec_common.rs,arcweft-bundle,19523,623,581,test,true,0
crates/arcweft-bundle/tests/resource_type_manifest_section.rs,arcweft-bundle,8408,249,234,test,true,0
crates/arcweft-bundle/tests/runtime_control_style_resolution.rs,arcweft-bundle,14114,403,384,test,true,0
crates/arcweft-bundle/tests/runtime_resource_codecs.rs,arcweft-bundle,14956,411,379,test,true,0
crates/arcweft-bundle/tests/source_map.rs,arcweft-bundle,14080,395,362,test,true,0
crates/arcweft-bundle/tests/standard_dialogue_view.rs,arcweft-bundle,18533,529,492,test,true,0
crates/arcweft-bundle/tests/style_cross_section_refs.rs,arcweft-bundle,13592,371,338,test,true,0
crates/arcweft-bundle/tests/view_action_button_resources.rs,arcweft-bundle,4453,115,109,test,true,0
