"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-runtime-plan/src/flow/tests.rs","arcweft-runtime-plan","test module","20408","663","621","0","722","-59",""
"M","crates/arcweft-runtime-plan/src/render_text/defaults.rs","arcweft-runtime-plan","production responsibility module","9457","279","260","0","286","-7",""
"M","crates/arcweft-runtime-plan/src/render_text/entity_defaults.rs","arcweft-runtime-plan","production responsibility module","6896","216","200","0","256","-40",""
"M","crates/arcweft-runtime-plan/src/render_text/line.rs","arcweft-runtime-plan","production responsibility module","10311","269","254","0","286","-17",""
"M","crates/arcweft-runtime-plan/src/render_text/speaker_preset.rs","arcweft-runtime-plan","production responsibility module","5904","187","175","0","187","0",""
"M","crates/arcweft-runtime-plan/src/render_text/tests.rs","arcweft-runtime-plan","test module","55344","1767","1646","0","1767","0",""
"M","crates/arcweft-text-layout/src/geometry.rs","arcweft-text-layout","production responsibility module","2173","88","58","0","88","0",""
"M","crates/arcweft-tooling/src/tests.rs","arcweft-tooling","unit test","27474","794","711","0","794","0",""
"A","crates/arcweft-view/src/dialogue.rs","arcweft-view","production responsibility module","3438","144","116","0","0","144",""
"M","crates/arcweft-view/src/lib.rs","arcweft-view","production facade","35680","1051","984","902","1046","5","SIZE002"
"M","tools/capture-bundle-scene-frame.rs","workspace-tools","production cargo-script tool","9390","258","243","0","258","0",""
"M","tools/capture-text-parity-frame.rs","workspace-tools","production cargo-script tool","21922","620","593","0","623","-3",""
"M","tools/verify-text-raster-parity.rs","workspace-tools","production cargo-script tool","58070","1745","1649","0","1744","1","SIZE001"
"M","tools/verify-unified-text-visual-parity.rs","workspace-tools","production cargo-script tool","18845","554","517","0","556","-2",""
